fold,cutoff,series_id,model,sMAPE,MAE,RMSE,sMAPE_baseline,MAE_baseline,RMSE_baseline
1,2023-12-04,S001_P0001,TimesFM,tensor(45.7238),tensor(91.9509),tensor(111.4195),tensor(56.8748),tensor(137.7551),tensor(168.8453)
1,2023-12-04,S001_P0002,TimesFM,tensor(55.1935),tensor(135.8177),tensor(148.6426),tensor(53.6267),tensor(135.5510),tensor(159.8206)
1,2023-12-04,S001_P0003,TimesFM,tensor(62.6682),tensor(178.0079),tensor(181.8371),tensor(56.3698),tensor(161.4286),tensor(171.8388)
1,2023-12-04,S001_P0004,TimesFM,tensor(39.6115),tensor(112.4803),tensor(126.8274),tensor(53.5145),tensor(147.0408),tensor(169.9799)
1,2023-12-04,S001_P0005,TimesFM,tensor(36.0328),tensor(90.9399),tensor(111.0892),tensor(37.2383),tensor(94.3061),tensor(110.0678)
1,2023-12-04,S001_P0006,TimesFM,tensor(27.1593),tensor(70.6400),tensor(97.1737),tensor(27.8316),tensor(72.7143),tensor(99.1874)
1,2023-12-04,S001_P0007,TimesFM,tensor(28.7885),tensor(92.1339),tensor(124.6290),tensor(27.6022),tensor(89.0612),tensor(121.8346)
1,2023-12-04,S001_P0008,TimesFM,tensor(73.3596),tensor(149.2481),tensor(159.6570),tensor(71.7067),tensor(139.4082),tensor(159.3498)
1,2023-12-04,S001_P0009,TimesFM,tensor(40.9244),tensor(90.6303),tensor(109.4356),tensor(40.3446),tensor(88.8163),tensor(106.8163)
1,2023-12-04,S001_P0010,TimesFM,tensor(56.4660),tensor(137.1336),tensor(154.1209),tensor(56.6745),tensor(143.3469),tensor(165.7552)
1,2023-12-04,S001_P0011,TimesFM,tensor(40.2952),tensor(105.9070),tensor(127.9556),tensor(40.8640),tensor(107.2041),tensor(131.4536)
1,2023-12-04,S001_P0012,TimesFM,tensor(45.9324),tensor(101.5489),tensor(117.7089),tensor(35.9486),tensor(74.0612),tensor(103.8540)
1,2023-12-04,S001_P0013,TimesFM,tensor(40.5375),tensor(96.7046),tensor(109.1423),tensor(39.5121),tensor(93.4490),tensor(108.9813)
1,2023-12-04,S001_P0014,TimesFM,tensor(50.5365),tensor(119.5708),tensor(131.1561),tensor(50.6999),tensor(119.8163),tensor(131.4181)
1,2023-12-04,S001_P0015,TimesFM,tensor(52.2811),tensor(105.7588),tensor(131.4164),tensor(62.2797),tensor(143.0816),tensor(164.1483)
1,2023-12-04,S001_P0016,TimesFM,tensor(17.8756),tensor(56.9169),tensor(77.3058),tensor(46.8005),tensor(125.4286),tensor(138.7732)
1,2023-12-04,S001_P0017,TimesFM,tensor(43.8790),tensor(104.4755),tensor(122.5822),tensor(42.2118),tensor(98.2653),tensor(110.0053)
1,2023-12-04,S001_P0018,TimesFM,tensor(68.1302),tensor(164.4712),tensor(178.5411),tensor(72.0307),tensor(172.3673),tensor(187.6552)
1,2023-12-04,S001_P0019,TimesFM,tensor(32.4181),tensor(91.2764),tensor(109.3477),tensor(33.8782),tensor(95.3061),tensor(113.2076)
1,2023-12-04,S001_P0020,TimesFM,tensor(49.4469),tensor(116.6502),tensor(132.0324),tensor(48.4076),tensor(113.5102),tensor(135.4765)
1,2023-12-04,S002_P0001,TimesFM,tensor(19.8406),tensor(52.3547),tensor(67.6400),tensor(17.9922),tensor(47.0408),tensor(61.2840)
1,2023-12-04,S002_P0002,TimesFM,tensor(46.0855),tensor(106.1096),tensor(116.6713),tensor(36.9878),tensor(86.8980),tensor(124.8491)
1,2023-12-04,S002_P0003,TimesFM,tensor(36.7962),tensor(115.2268),tensor(135.9204),tensor(34.8775),tensor(109.7755),tensor(127.2700)
1,2023-12-04,S002_P0004,TimesFM,tensor(35.4637),tensor(102.2909),tensor(128.9490),tensor(69.5195),tensor(169.1429),tensor(196.6485)
1,2023-12-04,S002_P0005,TimesFM,tensor(45.4518),tensor(90.2890),tensor(115.2663),tensor(54.7072),tensor(125.3469),tensor(157.4361)
1,2023-12-04,S002_P0006,TimesFM,tensor(52.7214),tensor(133.9168),tensor(145.4331),tensor(60.6033),tensor(151.4694),tensor(176.0083)
1,2023-12-04,S002_P0007,TimesFM,tensor(33.5288),tensor(76.9350),tensor(97.9207),tensor(37.3411),tensor(84.3061),tensor(92.6854)
1,2023-12-04,S002_P0008,TimesFM,tensor(44.7148),tensor(105.9454),tensor(133.5265),tensor(47.7447),tensor(127.5714),tensor(164.0475)
1,2023-12-04,S002_P0009,TimesFM,tensor(44.2480),tensor(119.7093),tensor(145.8082),tensor(43.0373),tensor(117.2857),tensor(140.9463)
1,2023-12-04,S002_P0010,TimesFM,tensor(34.4130),tensor(95.7689),tensor(107.9136),tensor(36.1597),tensor(101.0408),tensor(107.4068)
1,2023-12-04,S002_P0011,TimesFM,tensor(59.3320),tensor(136.6711),tensor(147.1240),tensor(59.1395),tensor(135.1633),tensor(148.7560)
1,2023-12-04,S002_P0012,TimesFM,tensor(35.6544),tensor(113.2056),tensor(129.3682),tensor(33.7208),tensor(107.6123),tensor(124.1567)
1,2023-12-04,S002_P0013,TimesFM,tensor(40.1800),tensor(117.3877),tensor(141.6414),tensor(38.8095),tensor(113.7347),tensor(132.8626)
1,2023-12-04,S002_P0014,TimesFM,tensor(89.1633),tensor(168.0007),tensor(182.9361),tensor(61.1728),tensor(80.5714),tensor(94.2186)
1,2023-12-04,S002_P0015,TimesFM,tensor(28.8708),tensor(75.9473),tensor(87.7783),tensor(27.9832),tensor(73.5918),tensor(86.7365)
1,2023-12-04,S002_P0016,TimesFM,tensor(43.1532),tensor(105.0730),tensor(121.5055),tensor(38.5702),tensor(89.2857),tensor(105.3559)
1,2023-12-04,S002_P0017,TimesFM,tensor(47.8547),tensor(110.6790),tensor(128.8197),tensor(47.5691),tensor(109.9388),tensor(129.1189)
1,2023-12-04,S002_P0018,TimesFM,tensor(42.5429),tensor(98.6075),tensor(112.1022),tensor(47.8779),tensor(116.2245),tensor(129.6229)
1,2023-12-04,S002_P0019,TimesFM,tensor(44.7951),tensor(119.0338),tensor(145.6591),tensor(45.9844),tensor(124.4490),tensor(145.5491)
1,2023-12-04,S002_P0020,TimesFM,tensor(40.4581),tensor(83.5511),tensor(101.5338),tensor(40.2922),tensor(83.1429),tensor(101.1675)
1,2023-12-04,S003_P0001,TimesFM,tensor(28.2950),tensor(74.3389),tensor(84.4246),tensor(27.5837),tensor(72.9796),tensor(88.0832)
1,2023-12-04,S003_P0002,TimesFM,tensor(39.2777),tensor(101.4910),tensor(123.5338),tensor(45.5620),tensor(136.9184),tensor(172.5302)
1,2023-12-04,S003_P0003,TimesFM,tensor(35.5828),tensor(84.8656),tensor(96.4756),tensor(32.4831),tensor(78.2245),tensor(109.5670)
1,2023-12-04,S003_P0004,TimesFM,tensor(55.1507),tensor(131.0751),tensor(143.3156),tensor(52.4749),tensor(122.6939),tensor(138.9471)
1,2023-12-04,S003_P0005,TimesFM,tensor(34.1751),tensor(87.0021),tensor(95.2507),tensor(33.4171),tensor(84.8367),tensor(94.6164)
1,2023-12-04,S003_P0006,TimesFM,tensor(45.3456),tensor(119.0504),tensor(132.6637),tensor(42.7124),tensor(108.9796),tensor(140.0717)
1,2023-12-04,S003_P0007,TimesFM,tensor(24.4581),tensor(77.2553),tensor(97.6301),tensor(28.8657),tensor(95.8775),tensor(115.2369)
1,2023-12-04,S003_P0008,TimesFM,tensor(67.3472),tensor(152.4186),tensor(163.5547),tensor(74.1635),tensor(163.5714),tensor(177.3072)
1,2023-12-04,S003_P0009,TimesFM,tensor(63.5422),tensor(135.1488),tensor(151.3988),tensor(70.3290),tensor(168.0204),tensor(196.1469)
1,2023-12-04,S003_P0010,TimesFM,tensor(69.6107),tensor(161.6998),tensor(167.9735),tensor(73.9385),tensor(176.7347),tensor(181.0034)
1,2023-12-04,S003_P0011,TimesFM,tensor(43.3590),tensor(123.4670),tensor(139.6595),tensor(43.0640),tensor(122.9184),tensor(138.3025)
1,2023-12-04,S003_P0012,TimesFM,tensor(42.8720),tensor(117.9509),tensor(132.3840),tensor(38.8660),tensor(108.0612),tensor(127.3548)
1,2023-12-04,S003_P0013,TimesFM,tensor(51.7114),tensor(117.8883),tensor(132.2098),tensor(44.5835),tensor(98.6531),tensor(125.8910)
1,2023-12-04,S003_P0014,TimesFM,tensor(39.4656),tensor(99.0107),tensor(119.5512),tensor(35.7757),tensor(88.8980),tensor(116.5840)
1,2023-12-04,S003_P0015,TimesFM,tensor(28.2975),tensor(68.5406),tensor(81.1587),tensor(28.0149),tensor(67.3061),tensor(80.8236)
1,2023-12-04,S003_P0016,TimesFM,tensor(45.4426),tensor(111.0311),tensor(127.4535),tensor(48.3042),tensor(124.2653),tensor(144.4866)
1,2023-12-04,S003_P0017,TimesFM,tensor(48.3848),tensor(111.8628),tensor(133.7279),tensor(46.1573),tensor(103.0204),tensor(119.8061)
1,2023-12-04,S003_P0018,TimesFM,tensor(57.6620),tensor(131.2460),tensor(133.7098),tensor(61.7761),tensor(146.6123),tensor(153.3152)
1,2023-12-04,S003_P0019,TimesFM,tensor(50.7223),tensor(123.1107),tensor(136.6909),tensor(56.0485),tensor(142.7143),tensor(155.9821)
1,2023-12-04,S003_P0020,TimesFM,tensor(57.6225),tensor(138.8984),tensor(149.0233),tensor(58.2484),tensor(144.9592),tensor(160.2579)
1,2023-12-04,S004_P0001,TimesFM,tensor(60.4766),tensor(124.7225),tensor(139.7732),tensor(77.0074),tensor(189.0612),tensor(201.5958)
1,2023-12-04,S004_P0002,TimesFM,tensor(62.8069),tensor(139.7379),tensor(156.7648),tensor(62.3408),tensor(137.2041),tensor(156.2913)
1,2023-12-04,S004_P0003,TimesFM,tensor(70.7110),tensor(166.7636),tensor(171.3063),tensor(70.3974),tensor(166.6939),tensor(172.3758)
1,2023-12-04,S004_P0004,TimesFM,tensor(65.6194),tensor(137.1760),tensor(145.3127),tensor(61.2032),tensor(122.9184),tensor(131.7446)
1,2023-12-04,S004_P0005,TimesFM,tensor(51.1761),tensor(101.5501),tensor(122.5668),tensor(50.6335),tensor(99.1837),tensor(115.9278)
